"year_end","team_id","fran_id","elo_n","MaxElo"
1991,"ATL","Hawks",1576.3354,1576.3354
1991,"BKN","Nets",1384.2858,1384.2858
1991,"BOS","Celtics",1676.9899,1676.9899
1991,"CHA","Hornets",1397.4133,1397.4133
1991,"CHI","Bulls",1785.245,1785.245
1991,"CLE","Cavaliers",1560.4244,1560.4244
1991,"DAL","Mavericks",1531.7303,1531.7303
1991,"DEN","Nuggets",1469.3442,1469.3442
1991,"DET","Pistons",1693.1362,1693.1362
1991,"GSW","Warriors",1557.9408,1557.9408
1991,"HOU","Rockets",1651.9435,1651.9435
1991,"IND","Pacers",1529.5189,1529.5189
1991,"LAC","Clippers",1449.3525,1449.3525
1991,"LAL","Lakers",1705.1174,1705.1174
1991,"MIA","Heat",1346.4865,1346.4865
1991,"MIL","Bucks",1605.6565,1605.6565
1991,"MIN","Timberwolves",1407.597,1407.597
1991,"NYK","Knicks",1525.0953,1525.0953
1991,"OKC","Thunder",1533.9608,1533.9608
1991,"ORL","Magic",1445.7169,1445.7169
1991,"PHI","Sixers",1566.5555,1566.5555
1991,"PHO","Suns",1677.7751,1677.7751
1991,"POR","Trailblazers",1710.6281,1710.6281
1991,"SAC","Kings",1365.5752,1365.5752
1991,"SAS","Spurs",1669.0737,1669.0737
1991,"UTA","Jazz",1623.8385,1623.8385
1991,"WAS","Wizards",1466.1833,1466.1833
1992,"ATL","Hawks",1527.3722,1527.3722
1992,"BKN","Nets",1510.2008,1510.2008
1992,"BOS","Celtics",1643.3167,1643.3167
1992,"CHA","Hornets",1481.7877,1481.7877
1992,"CHI","Bulls",1782.1224,1782.1224
1992,"CLE","Cavaliers",1680.9753,1680.9753
1992,"DAL","Mavericks",1412.4019,1412.4019
1992,"DEN","Nuggets",1385.2906,1385.2906
1992,"DET","Pistons",1604.2573,1604.2573
1992,"GSW","Warriors",1605.2174,1605.2174
1992,"HOU","Rockets",1573.675,1573.675
1992,"IND","Pacers",1549.6445,1549.6445
1992,"LAC","Clippers",1572.8749,1572.8749
1992,"LAL","Lakers",1632.7195,1632.7195
1992,"MIA","Heat",1442.2875,1442.2875
1992,"MIL","Bucks",1526.9202,1526.9202
1992,"MIN","Timberwolves",1420.9362,1420.9362
1992,"NYK","Knicks",1626.2737,1626.2737
1992,"OKC","Thunder",1599.9219,1599.9219
1992,"ORL","Magic",1482.2996,1482.2996
1992,"PHI","Sixers",1527.7761,1527.7761
1992,"PHO","Suns",1646.6823,1646.6823
1992,"POR","Trailblazers",1707.6542,1707.6542
1992,"SAC","Kings",1399.9952,1399.9952
1992,"SAS","Spurs",1619.5494,1619.5494
1992,"UTA","Jazz",1659.5172,1659.5172
1992,"WAS","Wizards",1421.5116,1421.5116
1993,"ATL","Hawks",1554.0016,1554.0016
1993,"BKN","Nets",1598.4889,1598.4889
1993,"BOS","Celtics",1603.6565,1603.6565
1993,"CHA","Hornets",1520.8497,1520.8497
1993,"CHI","Bulls",1755.1117,1755.1117
1993,"CLE","Cavaliers",1678.0421,1678.0421
1993,"DAL","Mavericks",1323.0702,1323.0702
1993,"DEN","Nuggets",1471.5924,1471.5924
1993,"DET","Pistons",1547.5435,1547.5435
1993,"GSW","Warriors",1588.8365,1588.8365
1993,"HOU","Rockets",1682.3569,1682.3569
1993,"IND","Pacers",1555.7987,1555.7987
1993,"LAC","Clippers",1587.5403,1587.5403
1993,"LAL","Lakers",1534.7748,1534.7748
1993,"MIA","Heat",1536.6332,1536.6332
1993,"MIL","Bucks",1502.5555,1502.5555
1993,"MIN","Timberwolves",1342.0056,1342.0056
1993,"NYK","Knicks",1708.8466,1708.8466
1993,"OKC","Thunder",1669.0829,1669.0829
1993,"ORL","Magic",1516.78,1516.78
1993,"PHI","Sixers",1462.691,1462.691
1993,"PHO","Suns",1714.6533,1714.6533
1993,"POR","Trailblazers",1682.0175,1682.0175
1993,"SAC","Kings",1452.457,1452.457
1993,"SAS","Spurs",1661.0004,1661.0004
1993,"UTA","Jazz",1611.9023,1611.9023
1993,"WAS","Wizards",1396.7218,1396.7218
1994,"ATL","Hawks",1644.208,1644.208
1994,"BKN","Nets",1569.6471,1569.6471
1994,"BOS","Celtics",1552.9821,1552.9821
1994,"CHA","Hornets",1564.663,1564.663
1994,"CHI","Bulls",1685.6691,1685.6691
1994,"CLE","Cavaliers",1634.4977,1634.4977
1994,"DAL","Mavericks",1278.9762,1278.9762
1994,"DEN","Nuggets",1606.1677,1606.1677
1994,"DET","Pistons",1521.5294,1521.5294
1994,"GSW","Warriors",1576.2949,1576.2949
1994,"HOU","Rockets",1699.538,1699.538
1994,"IND","Pacers",1659.4332,1659.4332
1994,"LAC","Clippers",1514.7515,1514.7515
1994,"LAL","Lakers",1475.1458,1475.1458
1994,"MIA","Heat",1617.4628,1617.4628
1994,"MIL","Bucks",1406.7817,1406.7817
1994,"MIN","Timberwolves",1374.7526,1374.7526
1994,"NYK","Knicks",1700.5853,1700.5853
1994,"OKC","Thunder",1716.6276,1716.6276
1994,"ORL","Magic",1621.5413,1621.5413
1994,"PHI","Sixers",1460.5262,1460.5262
1994,"PHO","Suns",1686.7377,1686.7377
1994,"POR","Trailblazers",1624.7656,1624.7656
1994,"SAC","Kings",1410.2943,1410.2943
1994,"SAS","Spurs",1677.1987,1677.1987
1994,"UTA","Jazz",1659.4875,1659.4875
1994,"WAS","Wizards",1401.5055,1401.5055
1995,"ATL","Hawks",1572.6249,1572.6249
1995,"BKN","Nets",1530.0326,1530.0326
1995,"BOS","Celtics",1486.9713,1486.9713
1995,"CHA","Hornets",1601.2064,1601.2064
1995,"CHI","Bulls",1647.8564,1647.8564
1995,"CLE","Cavaliers",1603.0828,1603.0828
1995,"DAL","Mavericks",1484.8683,1484.8683
1995,"DEN","Nuggets",1597.4149,1597.4149
1995,"DET","Pistons",1378.1752,1378.1752
1995,"GSW","Warriors",1582.5081,1582.5081
1995,"HOU","Rockets",1687.149,1687.149
1995,"IND","Pacers",1642.6066,1642.6066
1995,"LAC","Clippers",1373.8621,1373.8621
1995,"LAL","Lakers",1559.6167,1559.6167
1995,"MIA","Heat",1505.4093,1505.4093
1995,"MIL","Bucks",1407.5898,1407.5898
1995,"MIN","Timberwolves",1340.3752,1340.3752
1995,"NYK","Knicks",1642.8167,1642.8167
1995,"OKC","Thunder",1717.171,1717.171
1995,"ORL","Magic",1690.1198,1690.1198
1995,"PHI","Sixers",1407.0817,1407.0817
1995,"PHO","Suns",1673.1008,1673.1008
1995,"POR","Trailblazers",1614.1857,1614.1857
1995,"SAC","Kings",1515.9448,1515.9448
1995,"SAS","Spurs",1717.8813,1717.8813
1995,"UTA","Jazz",1710.618,1710.618
1995,"WAS","Wizards",1427.8,1427.8
1996,"ATL","Hawks",1579.1366,1579.1366
1996,"BKN","Nets",1446.7733,1446.7733
1996,"BOS","Celtics",1465.535,1465.535
1996,"CHA","Hornets",1538.5004,1538.5004
1996,"CHI","Bulls",1853.1045,1853.1045
1996,"CLE","Cavaliers",1566.1885,1566.1885
1996,"DAL","Mavericks",1495.6373,1495.6373
1996,"DEN","Nuggets",1546.9574,1546.9574
1996,"DET","Pistons",1562.4604,1562.4604
1996,"GSW","Warriors",1476.1918,1476.1918
1996,"HOU","Rockets",1678.6807,1678.6807
1996,"IND","Pacers",1650.1819,1650.1819
1996,"LAC","Clippers",1425.5018,1425.5018
1996,"LAL","Lakers",1659.8656,1659.8656
1996,"MIA","Heat",1558.7076,1558.7076
1996,"MIL","Bucks",1438.2195,1438.2195
1996,"MIN","Timberwolves",1386.2231,1386.2231
1996,"NYK","Knicks",1647.6053,1647.6053
1996,"OKC","Thunder",1730.8632,1730.8632
1996,"ORL","Magic",1675.1044,1675.1044
1996,"PHI","Sixers",1389.5454,1389.5454
1996,"PHO","Suns",1582.6678,1582.6678
1996,"POR","Trailblazers",1584.1161,1584.1161
1996,"SAC","Kings",1542.3365,1542.3365
1996,"SAS","Spurs",1707.7166,1707.7166
1996,"TOR","Raptors",1323.2456,1323.2456
1996,"UTA","Jazz",1691.005,1691.005
1996,"VAN","Grizzlies",1331.2798,1331.2798
1996,"WAS","Wizards",1547.1453,1547.1453
1997,"ATL","Hawks",1657.5612,1657.5612
1997,"BKN","Nets",1408.0433,1408.0433
1997,"BOS","Celtics",1442.0605,1442.0605
1997,"CHA","Hornets",1627.3763,1627.3763
1997,"CHI","Bulls",1811.2531,1811.2531
1997,"CLE","Cavaliers",1583.4875,1583.4875
1997,"DAL","Mavericks",1395.9386,1395.9386
1997,"DEN","Nuggets",1443.2026,1443.2026
1997,"DET","Pistons",1640.4331,1640.4331
1997,"GSW","Warriors",1446.399,1446.399
1997,"HOU","Rockets",1660.3328,1660.3328
1997,"IND","Pacers",1581.8312,1581.8312
1997,"LAC","Clippers",1469.9617,1469.9617
1997,"LAL","Lakers",1652.9242,1652.9242
1997,"MIA","Heat",1687.4017,1687.4017
1997,"MIL","Bucks",1487.2281,1487.2281
1997,"MIN","Timberwolves",1482.9098,1482.9098
1997,"NYK","Knicks",1650.6416,1650.6416
1997,"OKC","Thunder",1692.9861,1692.9861
1997,"ORL","Magic",1606.6497,1606.6497
1997,"PHI","Sixers",1369.9447,1369.9447
1997,"PHO","Suns",1567.5786,1567.5786
1997,"POR","Trailblazers",1596.9564,1596.9564
1997,"SAC","Kings",1458.0149,1458.0149
1997,"SAS","Spurs",1576.6639,1576.6639
1997,"TOR","Raptors",1427.1194,1427.1194
1997,"UTA","Jazz",1764.468,1764.468
1997,"VAN","Grizzlies",1283.5828,1283.5828
1997,"WAS","Wizards",1567.3505,1567.3505
1998,"ATL","Hawks",1637.0354,1637.0354
1998,"BKN","Nets",1569.4976,1569.4976
1998,"BOS","Celtics",1458.2198,1458.2198
1998,"CHA","Hornets",1627.0959,1627.0959
1998,"CHI","Bulls",1788.2704,1788.2704
1998,"CLE","Cavaliers",1610.827,1610.827
1998,"DAL","Mavericks",1380.8281,1380.8281
1998,"DEN","Nuggets",1323.2433,1323.2433
1998,"DET","Pistons",1587.2719,1587.2719
1998,"GSW","Warriors",1398.2869,1398.2869
1998,"HOU","Rockets",1628.4851,1628.4851
1998,"IND","Pacers",1682.5183,1682.5183
1998,"LAC","Clippers",1439.3734,1439.3734
1998,"LAL","Lakers",1745.2281,1745.2281
1998,"MIA","Heat",1686.0063,1686.0063
1998,"MIL","Bucks",1508.2532,1508.2532
1998,"MIN","Timberwolves",1530.396,1530.396
1998,"NYK","Knicks",1654.4022,1654.4022
1998,"OKC","Thunder",1719.1005,1719.1005
1998,"ORL","Magic",1532.0358,1532.0358
1998,"PHI","Sixers",1450.3944,1450.3944
1998,"PHO","Suns",1649.3655,1649.3655
1998,"POR","Trailblazers",1587.5347,1587.5347
1998,"SAC","Kings",1464.0939,1464.0939
1998,"SAS","Spurs",1660.2029,1660.2029
1998,"TOR","Raptors",1447.3688,1447.3688
1998,"UTA","Jazz",1765.666,1765.666
1998,"VAN","Grizzlies",1339.1829,1339.1829
1998,"WAS","Wizards",1572.6658,1572.6658
1999,"ATL","Hawks",1619.6373,1619.6373
1999,"BKN","Nets",1512.0587,1512.0587
1999,"BOS","Celtics",1480.2816,1480.2816
1999,"CHA","Hornets",1561.2078,1561.2078
1999,"CHI","Bulls",1709.9451,1709.9451
1999,"CLE","Cavaliers",1569.0439,1569.0439
1999,"DAL","Mavericks",1431.351,1431.351
1999,"DEN","Nuggets",1314.9888,1314.9888
1999,"DET","Pistons",1606.6108,1606.6108
1999,"GSW","Warriors",1424.5842,1424.5842
1999,"HOU","Rockets",1558.2798,1558.2798
1999,"IND","Pacers",1673.6707,1673.6707
1999,"LAC","Clippers",1320.7574,1320.7574
1999,"LAL","Lakers",1656.5223,1656.5223
1999,"MIA","Heat",1661.7903,1661.7903
1999,"MIL","Bucks",1536.3311,1536.3311
1999,"MIN","Timberwolves",1561.239,1561.239
1999,"NYK","Knicks",1632.0685,1632.0685
1999,"OKC","Thunder",1604.0139,1604.0139
1999,"ORL","Magic",1628.1917,1628.1917
1999,"PHI","Sixers",1577.5002,1577.5002
1999,"PHO","Suns",1600.182,1600.182
1999,"POR","Trailblazers",1625.8916,1625.8916
1999,"SAC","Kings",1489.7905,1489.7905
1999,"SAS","Spurs",1755.5758,1755.5758
1999,"TOR","Raptors",1479.2946,1479.2946
1999,"UTA","Jazz",1718.8506,1718.8506
1999,"VAN","Grizzlies",1317.8146,1317.8146
1999,"WAS","Wizards",1512.1384,1512.1384
2000,"ATL","Hawks",1546.3076,1546.3076
2000,"BKN","Nets",1536.2495,1536.2495
2000,"BOS","Celtics",1497.0913,1497.0913
2000,"CHA","Hornets",1628.1716,1628.1716
2000,"CHI","Bulls",1385.8768,1385.8768
