"year_end","player","team_id","G","GS","MP","PER","TS.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","PTS","id","salary","sal_per_min","sal_per_WS","sal_per_BPM","sal_per_PTS","sal_per_PER","sal_per_VORP","sal_per_USG"
1991,"Alaa Abdelnaby","POR",43,0,290,13.1,0.499,22.1,0,0.5,0.5,0.079,-4.2,-0.7,-5,-0.2,135,"Alaa Abdelnaby-1991-POR",395000,1362.06896551724,790000,-79000,2925.92592592593,30152.6717557252,-1975000,17873.3031674208
1991,"Mahmoud Abdul-Rauf","DEN",67,19,1505,12.2,0.448,27.2,-0.7,-0.3,-1,-0.031,-1.7,-4.4,-6.1,-1.6,942,"Mahmoud Abdul-Rauf-1991-DEN",1660000,1102.99003322259,-1660000,-272131.147540984,1762.20806794055,136065.573770492,-1037500,61029.4117647059
1991,"Mark Acres","ORL",68,0,1313,9.2,0.551,9.3,1.4,1.1,2.5,0.09,-2.1,0.3,-1.8,0.1,285,"Mark Acres-1991-ORL",437000,332.825590251333,174800,-242777.777777778,1533.33333333333,47500,4370000,46989.247311828
1991,"Michael Adams","DEN",66,66,2346,22.3,0.53,28.5,5.8,0.4,6.3,0.128,7.1,-2.7,4.4,3.8,1752,"Michael Adams-1991-DEN",825000,351.662404092072,130952.380952381,187500,470.890410958904,36995.5156950673,217105.263157895,28947.3684210526
1991,"Mark Aguirre","DET",78,13,2006,16.7,0.526,25.7,2.8,2.7,5.5,0.132,0.9,-0.3,0.7,1.4,1104,"Mark Aguirre-1991-DET",1115000,555.832502492522,202727.272727273,1592857.14285714,1009.96376811594,66766.4670658683,796428.571428571,43385.2140077821
1991,"Danny Ainge","POR",80,0,1710,17,0.574,20.8,4.1,2.1,6.2,0.175,3.4,-0.6,2.8,2.1,890,"Danny Ainge-1991-POR",725000,423.976608187135,116935.483870968,258928.571428571,814.606741573034,42647.0588235294,345238.095238095,34855.7692307692
1991,"Mark Alarie","WAS",42,1,587,11.3,0.496,20.3,0.1,0.6,0.6,0.05,-2.4,-1.1,-3.6,-0.2,244,"Mark Alarie-1991-WAS",5e+05,851.788756388416,833333.333333333,-138888.888888889,2049.18032786885,44247.7876106195,-2500000,24630.5418719212
1991,"Steve Alford","DAL",34,0,236,20.5,0.578,27.5,0.5,0.1,0.6,0.121,2.4,-3.8,-1.4,0,151,"Steve Alford-1991-DAL",250000,1059.32203389831,416666.666666667,-178571.428571429,1655.62913907285,12195.1219512195,Inf,9090.90909090909
1991,"Greg Anderson","DEN",68,2,924,9.1,0.455,16.3,-1.2,0.9,-0.3,-0.017,-6.8,-0.8,-7.5,-1.3,292,"Greg Anderson-1991-DEN",1365000,1477.27272727273,-4550000,-182000,4674.65753424658,150000,-1050000,83742.3312883436
1991,"Nick Anderson","ORL",70,42,1971,15.1,0.51,22.4,1.2,1.9,3.1,0.075,-1.1,0.1,-1,0.5,990,"Nick Anderson-1991-ORL",725000,367.833587011669,233870.967741935,-725000,732.323232323232,48013.2450331126,1450000,32366.0714285714
1991,"Ron Anderson","PHI",82,13,2340,15.5,0.524,23.2,2.3,1.8,4.1,0.085,-0.5,-1.8,-2.3,-0.2,1198,"Ron Anderson-1991-PHI",425000,181.623931623932,103658.536585366,-184782.608695652,354.757929883139,27419.3548387097,-2125000,18318.9655172414
1991,"Willie Anderson","SAS",75,75,2592,13,0.499,20.1,1.3,3.5,4.8,0.089,-0.8,0.9,0.1,1.4,1083,"Willie Anderson-1991-SAS",725000,279.706790123457,151041.666666667,7250000,669.43674976916,55769.2307692308,517857.142857143,36069.6517412935
1991,"Michael Ansley","ORL",67,1,877,16.9,0.594,16.3,2.3,0.7,3.1,0.168,1.2,-1.2,0,0.4,379,"Michael Ansley-1991-ORL",2e+05,228.050171037628,64516.1290322581,Inf,527.704485488127,11834.3195266272,5e+05,12269.9386503067
