"","year_end","fran_id","id","MaxElo","tot_sal","tot_spMP","tot_spWS","tot_spBPM","tot_spPTS","tot_spPER","tot_spVORP","tot_spUSG","avg_sal","avg_spMP","avg_spWS","avg_spBPM","avg_spPTS","avg_spPER","avg_spVORP","avg_spUSG","max_sal","max_spMP","max_spWS","max_spBPM","max_spPTS","max_spPER","max_spVORP","max_spUSG","min_sal","min_spMP","min_spWS","min_spBPM","min_spPTS","min_spPER","min_spVORP","min_spUSG","std_sal","std_spMP","std_spWS","std_spBPM","std_spPTS","std_spPER","std_spVORP","std_spUSG"
"1",1991,"Hawks","ATL-1991",1576.3354,11111000,29022.1470457548,Inf,-913894.60012094,119029.664622175,783417.592870186,Inf,665184.678924083,925916.666666667,2418.5122538129,Inf,-76157.8833434117,9919.13871851458,65284.7994058489,Inf,55432.0565770069,2406000,22222.2222222222,Inf,2214285.71428571,1e+05,184523.80952381,Inf,184523.80952381,125000,107.296137339056,-8e+06,-2673333.33333333,263.157894736842,10080.6451612903,-3875000,7022.47191011236,713665.373372924,6249.17468685079,NA,1120977.00497813,28404.4748304159,49558.6799707301,NA,50560.6311081694
"2",1991,"Nets","BKN-1991",1384.2858,11410000,20785.9825196187,15953975.3658545,-3254383.88974498,48404.3803630989,835687.179012711,-5323327.67722473,571579.112599995,815000,1484.71303711562,1139569.66898961,-232455.992124642,3457.45574022135,59691.9413580508,-380237.691230338,40827.0794714282,2100000,13736.2637362637,12500000,4200000,30487.8048780488,141843.971631206,4e+06,98522.1674876847,120000,203.094777562863,-1200000,-3333333.33333333,364.705882352941,11654.1353383459,-12500000,5849.05660377359,631600.531007718,3540.44292843865,3306507.52172254,1571817.53858131,7812.97398867978,39883.8489158932,3950015.5858671,28559.2928178058
"3",1991,"Celtics","BOS-1991",1676.9899,10706000,29393.7431564872,Inf,3535055.04179876,86286.8687830647,657686.015516059,Inf,555995.29474223,764714.285714286,2099.55308260623,Inf,252503.931557055,6163.34777021891,46977.5725368614,Inf,39713.949624445,2500000,19687.5,Inf,1470588.23529412,63000,121359.223300971,Inf,131578.947368421,30000,138.580931263858,-2220000,-420769.230769231,270.63599458728,3947.36842105263,-1750000,1421.8009478673,682652.116445787,5078.71110023692,NA,514719.173282098,16392.6540291231,33911.2629488889,NA,35251.3024446988
"4",1991,"Hornets","CHA-1991",1397.4133,10417000,8278.3710519483,4132134.55518176,-2658418.33021869,23016.7504751203,791594.467567697,Inf,543753.827850778,801307.692307692,636.797773226792,317856.50424475,-204493.71770913,1770.51926731695,60891.8821205921,Inf,41827.2175269829,1650000,1500,2425000,3750000,4411.76470588235,117857.142857143,Inf,87765.9574468085,75000,228.737113402062,-1610000,-4e+06,546.153846153846,7575.75757575758,-12500000,3393.66515837104,504313.623422202,327.778699911367,907049.145426243,1787284.4383409,1093.21641093488,35308.7568855651,NA,24612.4720456848
"5",1991,"Bulls","CHI-1991",1785.245,10040000,6833.0301605363,4308577.50128517,-2664899.62279436,17617.9438700264,671130.919054108,10519691.4303512,512417.699444334,836666.666666667,569.419180044692,359048.125107097,-222074.968566197,1468.16198916887,55927.5765878423,876640.952529267,42701.4749536945,2500000,1256.86813186813,1830000,231481.481481481,3465.90909090909,98039.2156862745,5500000,75987.8419452888,150000,195.33231861999,67543.8596491228,-687500,523.613963039014,10204.0816326531,-3050000,8474.57627118644,599898.981395024,312.207391681334,494585.877457831,302339.737836462,893.86042341727,29883.8146042529,2667401.90231827,21017.3627948872
"6",1991,"Cavaliers","CLE-1991",1560.4244,10618000,17069.1226470473,168176.778155432,1095074.72808233,43648.1537376832,839342.213535139,-12560336.9592398,523341.93017628,758428.571428571,1219.22304621766,12012.6270111023,78219.6234344524,3117.72526697737,59953.0152525099,-897166.925659987,37381.5664411628,2640000,4772.72727272727,2640000,1156250,12209.3023255814,242201.834862385,2333333.33333333,121100.917431193,75000,54.3183052688756,-5250000,-825000,164.203612479475,5102.04081632653,-5280000,2688.17204301075,707281.329543541,1491.85413382466,1891613.19525741,466129.736644254,3867.22982131716,58065.8433796785,1846178.36981074,32380.9681765773
"7",1991,"Mavericks","DAL-1991",1531.7303,11693000,28224.5523006357,Inf,-4332387.70791925,74128.1084835437,821195.036853957,Inf,579408.634032911,835214.285714286,2016.03945004541,Inf,-309456.264851375,5294.86489168169,58656.7883467112,Inf,41386.3310023508,1650000,17662.7906976744,Inf,579411.764705882,52379.3103448276,122950.819672131,Inf,75198.0198019802,30000,58.3657587548638,30000,-2750000,111.111111111111,1744.18604651163,-1500000,1167.31517509728,564524.058024024,4632.33166304806,NA,812255.400251457,13662.1542074067,39722.610332177,NA,26565.1624466579
"8",1991,"Nuggets","DEN-1991",1469.3442,9825000,6833.03521181565,-2865493.42814049,-4287414.55767923,16973.7333447651,812719.250523261,-48172.5146198818,544129.033190635,893181.818181818,621.185019255968,-260499.402558226,-389764.959789021,1543.06666770592,73883.5682293874,-4379.31951089834,49466.2757446032,2185000,1477.27272727273,1414285.71428571,187500,4674.65753424658,186752.136752137,2825000,142810.45751634,210000,179.33390264731,-4550000,-1610000,414.201183431953,20192.3076923077,-2475000,11170.2127659574,616361.390449113,397.872054973999,1801869.42079606,465299.9990137,1215.15655135641,58460.5131225844,1778484.57428279,37827.6581283306
"9",1991,"Pistons","DET-1991",1693.1362,12910000,16914.8343863531,15906373.8828473,-9960478.8983418,54610.8366615934,968073.034823994,Inf,677286.861328318,922142.857142857,1208.20245616808,1136169.56306052,-711462.778452986,3900.77404725667,69148.0739159996,Inf,48377.6329520227,2720000,3982.30088495575,8e+06,1592857.14285714,22222.2222222222,156321.83908046,Inf,107936.507936508,125000,318.877551020408,101149.425287356,-1.4e+07,635.359116022099,12376.2376237624,-8e+06,7225.43352601156,665853.166666976,1270.874980216,2176792.13908209,3877540.30302695,5796.87103402681,43528.1646708721,NA,30768.9341193777
"10",1991,"Warriors","GSW-1991",1557.9408,11150000,12055.921687466,Inf,-3033714.88160962,37080.3470212243,851740.879229892,-21381568.5694568,608426.691003289,857692.307692308,927.378591343539,Inf,-233362.68320074,2852.33438624803,65518.5291715302,-1644736.04380437,46802.0531540992,2850000,4809.52380952381,Inf,850000,18035.7142857143,158878.504672897,3175000,121276.595744681,50000,77.639751552795,-925000,-3175000,210.970464135021,3875.96899224806,-1.7e+07,3521.12676056338,778654.329020628,1255.26824681425,NA,989979.137424948,4743.3721323333,49424.6353822778,4869198.08393367,38709.2964796988
"11",1991,"Rockets","HOU-1991",1651.9435,10500000,11006.717130134,12937646.0226503,-3596380.30347915,25251.1319896557,677361.034194079,Inf,534879.380670333,807692.307692308,846.670548471849,995203.54020387,-276644.638729165,1942.39476843505,52104.6949380061,Inf,41144.5677438718,3175000,3217.82178217822,6500000,1e+06,5752.21238938053,130658.436213992,Inf,127000,120000,87.1080139372822,42372.8813559322,-3e+06,178.954903364352,6976.74418604651,-3250000,4428.0442804428,865935.465707018,892.140946151691,1817212.97878186,1152597.13380103,1614.7699270864,37174.8147949636,NA,39795.1566747692
