"id","MaxElo","tot_sal","tot_spMP","tot_spWS","tot_spBPM","tot_spPTS","tot_spPER","tot_spVORP","tot_spUSG","avg_sal","avg_spMP","avg_spWS","avg_spBPM","avg_spPTS","avg_spPER","avg_spVORP","avg_spUSG","max_sal","max_spMP","max_spWS","max_spBPM","max_spPTS","max_spPER","max_spVORP","max_spUSG","min_sal","min_spMP","min_spWS","min_spBPM","min_spPTS","min_spPER","min_spVORP","min_spUSG","std_sal","std_spMP","std_spWS","std_spBPM","std_spPTS","std_spPER","std_spVORP","std_spUSG","sal_C","sal_PF","sal_PG","sal_SF","sal_SG","sal_Bench","sal_Start"
"ATL-1991",1576.3354,102152686.37857,266824.793915735,2285606.2019706,1909712.43558324,4109944.9672039,2334889.79938495,1978735.30252455,6115597.32606978,8512723.8648808,22235.3994929779,190467.18349755,159142.70296527,342495.413933658,194574.149948746,164894.608543713,509633.110505815,22120363.9120546,204307.415831298,862548.762836859,358183.298492265,2372009.09780137,934732.39870986,482442.528366379,1696481.22074202,1149229.21405105,986.462844679013,22237.5852918878,24171.2883607476,22126.9505391919,24571.9174495998,23407.9845177767,64563.438991632,6561320.76909451,57453.8729106981,224523.294403488,95996.8027538508,647647.963538538,241972.532480818,135143.70848678,464846.03480293,"45334794.0358858","6297776.09299975","20272403.3358605","20134495.8301743","10113217.0836492",49701865.0492798,52450821.3292898
"BKN-1991",1384.2858,104901642.65858,191102.866834402,2237211.67347735,3012608.6230569,2615142.46482647,2213022.5267217,2909804.59761948,5255003.3147303,7492974.47561284,13650.2047738858,159800.833819811,215186.33021835,186795.890344748,158073.037622979,207843.185544249,375357.379623593,19307050.7960576,126288.924620994,555939.632297195,1058932.63294704,1034306.29264595,355801.364670205,640442.456406368,905796.424867823,1103260.04548901,1867.21961277153,39675.6917437998,53016.7596362888,29650.113722517,26514.0440018662,51441.1611571382,53775.2537895585,5806830.2547538,32550.2435523372,135057.393870582,252728.289290464,253879.582712108,96914.6495450971,156735.709378188,262569.389110886,"27121809.4516048","41050467.5259034","9699494.56659085","8963987.86959818","18065883.2448825",48451503.6643923,56450138.9941875
"BOS-1991",1676.9899,98429183.7250442,270241.186765986,1765624.54232755,3003349.279757,3328771.37409824,1573938.47377752,2126912.02314369,5111728.28474155,7030655.9803603,19302.9419118561,126116.038737682,214524.948554072,237769.38386416,112424.176698394,151922.287367406,365123.448910111,22984584.281021,181003.60121304,239357.281687228,1120774.29871115,1601106.14101592,336034.622188526,817381.513431552,1209714.962159,275815.011372252,1274.09003775061,17216.1950646874,38899.5661082586,39643.6060913878,19766.742481678,7022.39535533299,13071.8014868366,6276190.04202622,46692.8253289409,75685.7858301805,276121.040321755,398418.747626081,88594.4681912442,205784.793746361,324094.612822377,"32840374.0207228","25329011.8776851","16447768.5114986","20134495.8301744","3677533.48496336",43385701.2888551,55043482.4361891
"CHA-1991",1397.4133,95772165.7821582,76109.966861228,2583805.25485211,2051275.09035903,1690785.53987662,2343485.49956167,5465370.89988671,4999182.27374559,7367089.67555063,5854.61283547908,198754.250373239,157790.39156608,130060.426144356,180268.115350898,420413.146145131,384552.482595815,15169825.6254738,13790.7505686126,818343.138741471,371564.716269517,219056.810337999,442470.927859099,3451273.23730098,806905.618376266,689537.528430629,2102.97098447486,50726.7005855112,31486.8464309916,53520.9679906453,29650.113722517,14044.790710666,31200.7931416574,4636575.59264587,3013.54286145452,199355.854839241,107717.708019072,44846.701108941,136202.378939004,927869.325302798,226282.975239326,"32959893.858984","3263810.96790498","14296411.422795","23186848.622694","22065200.9097801",44470573.6669194,51301592.1152388
"CHI-1991",1785.245,92306090.4725802,62821.743047842,1466297.57486096,1649909.21796052,1608327.66908616,1916893.27219248,2176189.06689189,4711083.11998607,7692174.20604835,5235.14525398683,122191.464571746,137492.434830043,134027.30575718,159741.10601604,181349.088907657,392590.259998839,22984584.281021,11555.436602821,278254.913395929,278254.913395929,246635.036873665,363062.617010413,603053.160457975,698619.583009757,1379075.05686126,1795.85285605136,37321.8214689026,23204.4368263177,56839.6370946178,20448.3542913911,26161.8650492798,77913.8450204102,5515371.47918903,2870.38284290294,77825.4714091731,86279.98406433,66128.5133133643,119597.428482289,169852.437396496,193230.138609552,"14250442.254233","26662117.7659843","7447005.3070508","15445640.6368461","28500884.508466",39441546.626232,52864543.8463482
"CLE-1991",1560.4244,97620126.3583522,156930.675233657,3641375.89581916,3963665.03890555,2395676.80538931,3202249.69472953,5737271.92713026,4811518.68077155,6972866.16845373,11209.3339452612,260098.278272797,283118.931350396,171119.771813522,228732.121052109,409805.137652161,343679.905769397,24271721.0007581,43879.6609001309,1067404.09401062,1556630.97043214,424535.719208768,778315.485216072,2184454.89006823,1113381.69728248,689537.528430629,499.393466181879,14119.1017726272,15743.4232154958,15537.1774965155,10224.1771456955,14582.0231422215,24714.606753786,6502626.93171443,13715.858829553,295631.138951079,403704.268059501,139025.336716608,248271.33498301,629149.953395767,297705.236862238,"12135860.5003791","38384255.749305","18828971.4430123","19766742.481678","8504296.18397776",45812873.388931,51807252.9694213
"DAL-1991",1531.7303,107503497.599191,259491.840459218,2698789.29990907,2274585.42212537,3287950.71836723,1978634.77784514,9132039.17835724,5326986.63283226,7678821.25708508,18535.1314613727,192770.664279219,162470.387294669,234853.622740516,141331.055560367,652288.512739803,380499.045202304,15169825.6254738,162388.760571492,871713.343442,533702.047005309,1589594.92039423,310291.887793784,4851836.79095735,691358.089561797,275815.011372252,536.605080490763,7163.78586584305,4235.73053178816,7848.55951478394,3274.24568714913,4896.34905509456,10732.1016098153,5190140.31612685,42588.8870107881,219300.226842403,137363.818733241,398137.079004741,96080.7022789202,1351002.67090364,244235.686077688,"25696765.2261814","16824715.6937074","21780192.0646954","13790750.5686126","29411074.0459944",44994622.1885266,62508875.4106646
"DEN-1991",1469.3442,90329416.2244124,62821.7894884643,66682036.0899755,4311869.92569772,1546807.75314502,2497822.5141806,48891861.0864714,5002631.84924824,8211765.11131022,5711.07177167857,6062003.28090686,391988.175063429,140618.886649547,227074.774016419,4444714.64422467,454784.713568022,20088526.6616123,13581.7998024215,59063026.5352537,1734531.65276725,330386.981479477,674540.087187266,29531513.2676269,1312975.59879819,1930705.07960576,1648.7660799366,73686.6731565514,50622.1453799072,35922.2531638187,68801.3688588794,52991.6926104561,102697.078702434,5666724.13053796,3657.96951224515,17667576.1143217,549051.130948463,94684.2644178391,214226.007961841,9130529.95263524,347781.198561704,"29190422.0368966","20548218.3472328","22846676.7753348","9331741.21809451","8412357.84685368",40958529.1887794,49370887.035633
"DET-1991",1693.1362,118692393.227192,155512.174621058,2131648.35518218,1841131.17352535,2914970.96800404,3569975.50602866,2463621.07693242,6226862.77865156,8478028.0876566,11108.0124729327,152260.596798727,131509.369537525,208212.212000288,254998.250430619,175972.934066601,444775.912760825,25007227.6977508,36612.61212906,373660.120425852,288889.466239688,729848.953169648,1581339.39853424,899119.664774708,992350.305466302,1149229.21405105,2931.70717870166,38012.9663109193,26316.6689844826,52323.7300985595,33993.7609557521,23407.9845177767,66429.434338211,6121743.29121672,11684.2132373662,100970.215825001,80233.8812098289,177570.978691238,393001.416375609,220581.458994134,282884.463801608,"37648749.0523124","9423679.5552186","26156456.9118018","18341698.2562548","27121809.4516047",53600050.5433409,65092342.6838514
"GSW-1991",1557.9408,102511245.893354,110840.139244381,2310442.67979647,3332226.69986011,2245861.93027526,2955767.97889912,3443689.94449695,5593773.82327512,7885480.4533349,8526.16455726005,177726.359984344,256325.13075847,172758.610021174,227366.767607624,264899.226499765,430290.294098086,26202426.0803639,44217.9621406309,470166.089028485,1382151.45506503,561499.028620167,530580.982402938,961625.309919473,1114996.85448357,459691.68562042,713.806965249099,9774.76276566498,6564.60082417353,14949.637171017,9170.138264696,7570.24180149373,32372.653916931,7158818.42046259,11540.7275256766,139261.134294016,361857.323936401,155839.801563986,172513.756301577,288189.215583048,355886.834958666,"32546171.3419258","12917336.3659338","6297776.09299974","30799342.9365681","19490927.4703058",44544124.3366187,57967121.5567349
"HOU-1991",1651.9435,96535253.9802881,101193.927013969,1583503.59430373,2107362.04829034,1810629.34278193,1850261.18281354,1768110.04563879,4917592.08207903,7425788.76771447,7784.14823184379,121807.968792594,162104.77294541,139279.180213995,142327.78329335,136008.465049138,378276.314006079,29190422.0368966,29584.1183815121,314671.12335039,611533.595526915,351921.910538286,297281.403375763,391381.501137225,1167616.88147586,1103260.04548901,800.856595157526,26954.6488386519,29650.1137225171,25414.3831907289,13096.9827485965,22471.6651370656,40710.7027855723,7961266.67738724,8202.19550694933,93378.396193205,163507.102113607,97368.6683309979,85271.3839605813,110823.466369372,365870.053027065,"31718726.3078089","27167778.6201668","19307050.7960576","10067247.9150872","8274450.34116755",36223704.826889,60311549.153399
"IND-1991",1529.5189,100957487.995956,67405.2397941394,10315425.8371889,2237999.21564927,1755337.04866812,3123732.50148268,4499440.9569179,5327155.86036361,8413123.99966304,5617.10331617829,859618.819765742,186499.934637439,146278.08738901,260311.041790223,374953.413076492,443929.655030301,19766742.481678,12949.0615667724,8361332.06974981,361219.65956366,306725.314370866,711602.729340408,1931493.1224954,1094504.01338195,1608920.89967147,1751.46304603325,35470.9949441155,32665.3795248069,44304.7676313474,26838.4650074508,32771.1783248873,83363.7771850503,5914354.98168358,3484.09668473812,2366195.11767034,130143.64310621,86410.8772768309,233056.534096363,546552.227470151,284541.139310038,"33557493.0502906","12273768.0060652","9120283.04270913","39993176.6489765","6012767.24791509",32500202.1733636,68457285.8225928
"LAC-1991",1449.3525,94190826.383624,95425.3431511087,2183971.31262742,2239561.00098683,1931115.83986344,3275296.8228477,3587579.98179016,4719460.01568081,7245448.1833557,7340.41101162375,167997.793279032,172273.923152833,148547.372297188,251945.909449823,275967.690906935,363035.385821601,20226434.1672985,31452.589016134,545179.510381766,482873.28062385,385451.478392722,889503.411675512,1690056.48218347,891032.34217174,1930705.07960576,1447.30515712576,44212.0038939307,54987.4836308498,35244.4748022373,58159.8384557065,55491.9559577383,105503.009814522,5024275.85563226,7910.62216215933,140658.413759434,120192.761348482,92983.8552645586,270663.497606775,433581.983081989,195780.39148947,"8504296.18397776","31488880.4649988","10940662.117766","18847359.1104372","24409628.5064443",37694718.2208744,56496108.1627496
"LAL-1991",1705.1174,111429264.59439,78526.2943945281,1615603.8777199,1882877.01167775,1880103.80679275,1962518.02323106,3432263.86229057,5916676.24381559,9285772.04953247,6543.85786621067,134633.656476658,156906.417639812,156675.317232729,163543.168602589,286021.988524214,493056.353651299,22065200.9097801,13911.7220648285,222375.852918878,310620.238997797,251069.511360024,271900.606189021,1779006.82335102,1071707.24339908,1103260.04548901,1587.42452588347,36492.4476584826,31626.7879706849,36492.4476584826,34996.8555413317,28089.581421332,37912.7163398285,6884361.74835003,3589.40936376827,54257.8951499178,80256.815437164,73011.2463315896,79925.0037756064,477972.882782075,360617.98370318,"12733459.6916856","40590775.840283","27121809.4516047","14710133.9398534","16273085.6709628",39349608.2891079,72079656.3052817
