"player","salary","year_end","team_id","fran_id"
"A.C. Green",1750000,1991,"LAL","Lakers"
"A.C. Green",1750000,1992,"LAL","Lakers"
"A.C. Green",1750000,1993,"LAL","Lakers"
"A.C. Green",1885000,1994,"PHO","Suns"
"A.C. Green",6472600,1995,"PHO","Suns"
"A.C. Green",6473000,1996,"PHO","Suns"
"A.C. Green",4851000,1997,"DAL","Mavericks"
"A.C. Green",5125088,1999,"DAL","Mavericks"
"A.C. Green",1700000,2000,"LAL","Lakers"
"A.C. Green",2250000,2001,"MIA","Heat"
"A.J. Bramlett",118974,2000,"CLE","Cavaliers"
"A.J. English",275000,1991,"WAS","Wizards"
"A.J. English",325000,1992,"WAS","Wizards"
"A.J. English",406000,1993,"WAS","Wizards"
"A.J. English",150000,1994,"CHI","Bulls"
"A.J. English",150000,1994,"POR","Trailblazers"
"A.J. Guyton",316969,2001,"CHI","Bulls"
"A.J. Guyton",465850,2002,"CHI","Bulls"
"A.J. Guyton",18748,2003,"GSW","Warriors"
"A.J. Hammons",650000,2017,"DAL","Mavericks"
"A.J. Hammons",1312611,2018,"MIA","Heat"
"A.J. Price",457588,2010,"IND","Pacers"
"A.J. Price",762195,2011,"IND","Pacers"
"A.J. Price",854389,2012,"IND","Pacers"
"A.J. Price",885120,2013,"WAS","Wizards"
"A.J. Price",62552,2015,"PHO","Suns"
"A.J. Wynder",30000,1991,"BOS","Celtics"
"A.J. Wynder",130000,1992,"BOS","Celtics"
"A.J. Wynder",140000,1993,"BOS","Celtics"
"Aaron Brooks",1045560,2009,"HOU","Rockets"
"Aaron Brooks",1118520,2010,"HOU","Rockets"
"Aaron Brooks",3250000,2013,"SAC","Kings"
"Aaron Brooks",3396250,2014,"SAC","Kings"
"Aaron Brooks",1027424,2014,"HOU","Rockets"
"Aaron Brooks",2e+06,2016,"CHI","Bulls"
"Aaron Brooks",2700000,2017,"IND","Pacers"
"Aaron Brooks",2116955,2018,"MIN","Timberwolves"
"Aaron Craft",35000,2015,"GSW","Warriors"
"Aaron Gordon",3992040,2015,"ORL","Magic"
"Aaron Gordon",4171680,2016,"ORL","Magic"
"Aaron Gordon",4351320,2017,"ORL","Magic"
"Aaron Gordon",5504420,2018,"ORL","Magic"
"Aaron Gray",427163,2008,"CHI","Bulls"
"Aaron Gray",711517,2009,"CHI","Bulls"
"Aaron Gray",1000497,2010,"NOP","Pelicans"
"Aaron Gray",1028840,2011,"NOP","Pelicans"
"Aaron Gray",2500000,2012,"TOR","Raptors"
"Aaron Gray",2575000,2013,"TOR","Raptors"
"Aaron Gray",2690875,2014,"TOR","Raptors"
"Aaron Gray",1227985,2015,"DET","Pistons"
"Aaron Gray",452059,2016,"DET","Pistons"
"Aaron Gray",452059,2017,"DET","Pistons"
"Aaron Gray",452059,2018,"DET","Pistons"
"Aaron Harrison",525093,2016,"CHA","Hornets"
"Aaron Harrison",375579,2017,"CHA","Hornets"
"Aaron McKie",650000,1995,"POR","Trailblazers"
"Aaron McKie",845000,1996,"POR","Trailblazers"
"Aaron McKie",1040000,1997,"POR","Trailblazers"
"Aaron McKie",1235000,1998,"DET","Pistons"
"Aaron McKie",1430000,1999,"PHI","Sixers"
"Aaron McKie",1624000,2000,"PHI","Sixers"
"Aaron McKie",4e+06,2002,"PHI","Sixers"
"Aaron McKie",5500000,2005,"PHI","Sixers"
"Aaron McKie",6e+06,2006,"PHI","Sixers"
"Aaron McKie",2500000,2006,"LAL","Lakers"
"Aaron McKie",5570874,2007,"PHI","Sixers"
"Aaron McKie",2500000,2007,"LAL","Lakers"
"Aaron McKie",750000,2008,"MEM","Grizzlies"
"Aaron Miles",155614,2006,"GSW","Warriors"
"Aaron Swinson",102424,1995,"PHO","Suns"
"Aaron Williams",150000,1995,"MIL","Bucks"
"Aaron Williams",169000,1997,"DEN","Nuggets"
"Aaron Williams",5e+05,1998,"OKC","Thunder"
"Aaron Williams",575000,1999,"OKC","Thunder"
"Aaron Williams",1100000,2000,"WAS","Wizards"
"Aaron Williams",2250000,2001,"BKN","Nets"
"Aaron Williams",2475000,2002,"BKN","Nets"
"Aaron Williams",2700000,2003,"BKN","Nets"
"Aaron Williams",2925000,2004,"BKN","Nets"
"Aaron Williams",3790257,2005,"TOR","Raptors"
"Aaron Williams",3375000,2006,"TOR","Raptors"
"Aaron Williams",1750000,2007,"LAC","Clippers"
"Aaron Williams",1890000,2008,"LAC","Clippers"
"Abdel Nader",1167333,2018,"BOS","Celtics"
"Acie Earl",650000,1994,"BOS","Celtics"
"Acie Earl",845000,1995,"BOS","Celtics"
"Acie Earl",1040000,1996,"TOR","Raptors"
"Acie Earl",1235000,1997,"TOR","Raptors"
"Acie Earl",1430000,1998,"MIL","Bucks"
"Acie Law",1927080,2008,"ATL","Hawks"
"Acie Law",2071680,2009,"ATL","Hawks"
"Acie Law",2216160,2010,"CHI","Bulls"
"Acie Law",656030,2011,"GSW","Warriors"
"Acie Law",203057,2011,"MEM","Grizzlies"
"Adam Harrington",140636,2003,"DAL","Mavericks"
"Adam Keefe",1e+06,1993,"ATL","Hawks"
"Adam Keefe",1200000,1994,"ATL","Hawks"
"Adam Keefe",1500000,1995,"UTA","Jazz"
"Adam Keefe",1650000,1996,"UTA","Jazz"
"Adam Keefe",1950000,1997,"UTA","Jazz"
"Adam Keefe",2300000,1998,"UTA","Jazz"
"Adam Keefe",2650000,1999,"UTA","Jazz"
"Adam Keefe",3390000,2001,"GSW","Warriors"
"Adam Morrison",4159200,2009,"LAL","Lakers"
"Adam Morrison",5257229,2010,"LAL","Lakers"
"Adonal Foyle",1495000,1998,"GSW","Warriors"
"Adonal Foyle",1701000,1999,"GSW","Warriors"
"Adonal Foyle",1922520,2000,"GSW","Warriors"
"Adonal Foyle",3580000,2001,"GSW","Warriors"
"Adonal Foyle",4400000,2002,"GSW","Warriors"
"Adonal Foyle",4400000,2003,"GSW","Warriors"
"Adonal Foyle",4400000,2004,"GSW","Warriors"
"Adonal Foyle",6500000,2005,"GSW","Warriors"
"Adonal Foyle",7312500,2006,"GSW","Warriors"
"Adonal Foyle",8125000,2007,"GSW","Warriors"
"Adonal Foyle",8937500,2008,"GSW","Warriors"
"Adonal Foyle",1219590,2008,"ORL","Magic"
"Adonal Foyle",1262275,2009,"MEM","Grizzlies"
"Adonal Foyle",1306455,2010,"ORL","Magic"
"Adonis Jordan",350000,1999,"MIL","Bucks"
"Adonis Thomas",60000,2016,"DET","Pistons"
"Adreian Payne",1855320,2015,"MIN","Timberwolves"
"Adreian Payne",1938840,2016,"MIN","Timberwolves"
"Adreian Payne",2022240,2017,"MIN","Timberwolves"
"Adrian Caldwell",275000,1991,"HOU","Rockets"
"Adrian Caldwell",150000,1995,"HOU","Rockets"
"Adrian Caldwell",225000,1996,"IND","Pacers"
"Adrian Caldwell",20000,1998,"CLE","Cavaliers"
"Adrian Dantley",4e+05,1991,"MIL","Bucks"
"Adrian Griffin",385000,2000,"BOS","Celtics"
"Adrian Griffin",498500,2001,"BOS","Celtics"
"Adrian Griffin",565850,2002,"DAL","Mavericks"
"Adrian Griffin",637435,2003,"DAL","Mavericks"
"Adrian Griffin",751179,2004,"HOU","Rockets"
"Adrian Griffin",768718,2006,"DAL","Mavericks"
"Adrian Griffin",1475000,2007,"CHI","Bulls"
"Adrian Griffin",1593000,2008,"OKC","Thunder"
"Adrian Griffin",1711000,2009,"MIL","Bucks"
"Akil Mitchell",150000,2015,"HOU","Rockets"
"Al Harrington",797880,2001,"IND","Pacers"
"Al Harrington",1436982,2002,"IND","Pacers"
"Al Harrington",5060000,2003,"IND","Pacers"
"Al Harrington",5692500,2004,"IND","Pacers"
"Al Harrington",6325000,2005,"ATL","Hawks"
"Al Harrington",6957500,2006,"ATL","Hawks"
"Al Harrington",7625000,2007,"GSW","Warriors"
"Al Harrington",8425625,2008,"GSW","Warriors"
"Al Harrington",9226250,2009,"NYK","Knicks"
"Al Harrington",10026875,2010,"NYK","Knicks"
"Al Harrington",5765000,2011,"DEN","Nuggets"
"Al Harrington",6226200,2012,"DEN","Nuggets"
"Al Harrington",6687400,2013,"ORL","Magic"
"Al Harrington",3574300,2014,"ORL","Magic"
"Al Harrington",1399507,2014,"WAS","Wizards"
"Al Harrington",3805000,2015,"ORL","Magic"
"Al Horford",3745800,2008,"ATL","Hawks"
"Al Horford",4026720,2009,"ATL","Hawks"
"Al Horford",4307640,2010,"ATL","Hawks"
"Al Horford",5444857,2011,"ATL","Hawks"
"Al Horford",1.2e+07,2012,"ATL","Hawks"
"Al Horford",1.2e+07,2013,"ATL","Hawks"
"Al Horford",1.2e+07,2014,"ATL","Hawks"
"Al Horford",1.2e+07,2015,"ATL","Hawks"
"Al Horford",1.2e+07,2016,"ATL","Hawks"
"Al Horford",26540100,2017,"BOS","Celtics"
"Al Horford",27734405,2018,"BOS","Celtics"
"Al Jefferson",1407240,2005,"BOS","Celtics"
"Al Jefferson",1512840,2006,"BOS","Celtics"
"Al Jefferson",2480885,2008,"MIN","Timberwolves"
"Al Jefferson",1.1e+07,2009,"MIN","Timberwolves"
"Al Jefferson",1.2e+07,2010,"MIN","Timberwolves"
"Al Jefferson",1.3e+07,2011,"UTA","Jazz"
"Al Jefferson",1.4e+07,2012,"UTA","Jazz"
"Al Jefferson",1.5e+07,2013,"UTA","Jazz"
"Al Jefferson",13833333,2016,"CHA","Hornets"
"Al Jefferson",10230179,2017,"IND","Pacers"
"Al Jefferson",9769821,2018,"IND","Pacers"
"Al Thornton",1652280,2008,"LAC","Clippers"
"Al Thornton",1776240,2009,"LAC","Clippers"
"Al Thornton",1900200,2010,"WAS","Wizards"
"Al Thornton",2814196,2011,"WAS","Wizards"
"Alaa Abdelnaby",395000,1991,"POR","Trailblazers"
"Alaa Abdelnaby",494000,1992,"POR","Trailblazers"
"Alaa Abdelnaby",5e+05,1993,"BOS","Celtics"
"Alaa Abdelnaby",805000,1994,"BOS","Celtics"
"Alaa Abdelnaby",650000,1995,"SAC","Kings"
"Alan Anderson",885120,2013,"TOR","Raptors"
"Alan Anderson",947907,2014,"BKN","Nets"
"Alan Anderson",1276061,2015,"BKN","Nets"
"Alan Anderson",4e+06,2016,"WAS","Wizards"
"Alan Anderson",1315448,2017,"LAC","Clippers"
"Alan Henderson",791000,1996,"ATL","Hawks"
"Alan Henderson",910000,1997,"ATL","Hawks"
"Alan Henderson",1028400,1998,"ATL","Hawks"
"Alan Henderson",4725000,1999,"ATL","Hawks"
"Alan Henderson",5318437,2000,"ATL","Hawks"
"Alan Henderson",5910000,2001,"ATL","Hawks"
"Alan Henderson",6500312,2002,"ATL","Hawks"
"Alan Henderson",7091250,2003,"ATL","Hawks"
"Alan Henderson",7682188,2004,"ATL","Hawks"
"Alan Henderson",8273125,2005,"DAL","Mavericks"
"Alan Henderson",1138500,2006,"CLE","Cavaliers"
"Alan Ogg",130000,1991,"MIA","Heat"
"Alan Ogg",202000,1992,"MIA","Heat"
"Alan Williams",114285,2016,"PHO","Suns"
"Alan Williams",874636,2017,"PHO","Suns"
"Alan Williams",6e+06,2018,"PHO","Suns"
"Alando Tucker",931920,2008,"PHO","Suns"
"Alando Tucker",1001880,2009,"PHO","Suns"
"Alando Tucker",1071720,2010,"MIN","Timberwolves"
"Alec Burks",2020200,2012,"UTA","Jazz"
"Alec Burks",2171640,2013,"UTA","Jazz"
"Alec Burks",2202000,2014,"UTA","Jazz"
"Alec Burks",3034356,2015,"UTA","Jazz"
"Alec Burks",9213484,2016,"UTA","Jazz"
"Alec Burks",10154495,2017,"UTA","Jazz"
"Alec Burks",10845506,2018,"UTA","Jazz"
"Alec Kessler",1600000,1991,"MIA","Heat"
"Alec Kessler",1122000,1992,"MIA","Heat"
"Alec Kessler",762000,1993,"MIA","Heat"
"Alec Kessler",922000,1994,"MIA","Heat"
"Alec Kessler",1402000,1995,"MIA","Heat"
"Aleksandar Radojevic",1325760,2000,"TOR","Raptors"
